,aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation,partial_agonist_desc,partial_agonist_aidname,agonist_desc,agonist_aidname,antagonist_desc,antagonist_aidname
40,61313,Confirmatory,Binding affinity towards cloned human Dopamine D2 receptor in CHO cells using [3H]spiperone as radioligand,Binding affinity towards cloned human Dopamine D2 receptor in CHO cells using [3H]spiperone as radioligand,43,ChEMBL,CHEMBL670391,20180908,9909614|10074155|10456040|15817167|15817168|15817169|15817172|18993044|44319217|44319412,103290343|103290345|103290373|103290799|103290804|103290960|103290966|103290995|103290996|103291270,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,9606.0,197.0,,,0,0,0,0,0,0
41,61314,Confirmatory,Binding affinity towards human cloned Dopamine D2 receptor in CHO cells by [3H]spiperone displacement.,Binding affinity towards human cloned Dopamine D2 receptor in CHO cells by [3H]spiperone displacement.,43,ChEMBL,CHEMBL670392,20180908,9961911|10009952|10395316|15291583|15291585|15291586|15291587|19938402|19938405|19938408|44319269|44319362|44319418|44319482|44319568|44319569|44319612,103290459|103290460|103290461|103290649|103290774|103290813|103290958|103290959|103291043|103291052|103291072|103291117|103291118|103291119|103291210|103291211|103291257,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,197.0,,,0,0,0,0,0,0
42,61315,Confirmatory,Displacement of [3H]spiperone from human dopamine D2 receptor in CHO cells,Displacement of [3H]spiperone from human dopamine D2 receptor in CHO cells,43,ChEMBL,CHEMBL670393,20180908,749986|10359942|11725909|22100932|22100933|22100940|22100943|22100957|22100962|22100964|22100965|22100968|22100970,103267062|103267091|103267092|103267382|103267444|103267455|103267823|103267824|103267872|103267873|103267890|103267899|103267918,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,9606.0,197.0,,,0,0,0,0,0,0
44,61317,Confirmatory,Potency was measured by the displacement of [3H]spiperone binding to human D2 dopaminergic receptor,Potency was measured by the displacement of [3H]spiperone binding to human D2 dopaminergic receptor,43,ChEMBL,CHEMBL670395,20180909,3559|5610|18519|37461|54456|92716|114840|10034684|71717830|135398737,103165765|103167216|103172070|103184812|103184857|103185116|103185117|103185654|123090849|164136077,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,9606.0,,,,0,0,0,0,0,0
45,61318,Confirmatory,Binding affinity at cloned human D2 dopamine receptor in CHO cells using [3H]-YM 09151 as radioligand,Binding affinity at cloned human D2 dopamine receptor in CHO cells using [3H]-YM 09151 as radioligand,43,ChEMBL,CHEMBL670396,20180908,135887930|135887932|135887933|135887935|135887936|135887937|135887938|135887939|136072266,103279759|103280417|103280450|103280452|103280487|103280979|103281048|103281050|103677593,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,9606.0,197.0,,,0,0,0,0,0,0
46,61319,Literature-derived,Binding affinity at cloned human D2 dopamine receptor in CHO cells using [3H]-YM 09151 as radioligand; not determined,Binding affinity at cloned human D2 dopamine receptor in CHO cells using [3H]-YM 09151 as radioligand; not determined,43,ChEMBL,CHEMBL670397,20180908,136094686,103671818,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,9606.0,197.0,,,0,0,0,0,0,0
48,61321,Confirmatory,Binding affinity towards dopamine D2 receptor,Binding affinity towards dopamine D2 receptor,43,ChEMBL,CHEMBL670399,20180908,10024832|44348012,103352310|103369163,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
49,61322,Confirmatory,Binding affinity towards mouse LtK- cells transfected with human D2 receptor using [3H]spiperone,Binding affinity towards mouse LtK- cells transfected with human D2 receptor using [3H]spiperone,43,ChEMBL,CHEMBL670400,20180908,3559|4302960|10052433|10939222|11271099|44310792|44311009,103167216|103250605|103267344|103267345|103267346|103267738|103268171,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
50,61454,Confirmatory,Dopamine D2 (spiroperidol) receptor binding affinity,Dopamine D2 (spiroperidol) receptor binding affinity,43,ChEMBL,CHEMBL667741,20180908,9955820|19380972|19380978|19381010|21480687|44295976|44295990|44296016|44296098|44296101,103235685|103235721|103235722|103235741|103235776|103235777|103235940|103235942|103235946|103235947,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
51,61455,Literature-derived,Compound was tested for dopamine D2 (spiroperidol) receptor binding affinity; Not active,Compound was tested for dopamine D2 (spiroperidol) receptor binding affinity; Not active,43,ChEMBL,CHEMBL667742,20180908,10900179,103225020,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
52,61456,Confirmatory,Displacement of [3H]-spiperone from dopamine D2 receptor,Displacement of [3H]-spiperone from dopamine D2 receptor,43,ChEMBL,CHEMBL667743,20180908,44340879|44340880|44340892|44340899|44340914|44340918|44340941|44340944|44341014|44341033|44341163|44341172|44341180,103335863|103335864|103335898|103335912|103335942|103335945|103335996|103335998|103336155|103336202|103336519|103336551|103336579,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
53,61457,Literature-derived,Compound was tested for dopamine D2 (spiroperidol) receptor binding affinity at 2500 nM concentration,Compound was tested for dopamine D2 (spiroperidol) receptor binding affinity at 2500 nM concentration,43,ChEMBL,CHEMBL667744,20180908,44296099,103235941,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
54,61458,Literature-derived,"Compound was tested for dopamine D2 (spiroperidol) receptor binding affinity, at 5000 nM concentration","Compound was tested for dopamine D2 (spiroperidol) receptor binding affinity, at 5000 nM concentration",43,ChEMBL,CHEMBL667745,20180908,44295619,103235048,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
55,61459,Confirmatory,Binding affinity was measured at cloned mammalian dopamine D2 receptor expressed in CHO-K1 cells (using [3H]U-86170),Binding affinity was measured at cloned mammalian dopamine D2 receptor expressed in CHO-K1 cells (using [3H]U-86170),43,ChEMBL,CHEMBL665374,20180908,122334|6604756|44374431|44374637|44374648,103194729|103195613|103412075|103412636|103412654,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,198.0,,,0,0,0,0,0,0
56,61460,Literature-derived,"Binding affinity was measured from cloned mammalian receptors expressed in CHO-K1 cells at dopamine 2 (D2) receptor (using [3H]U-86,170); Not tested","Binding affinity was measured from cloned mammalian receptors expressed in CHO-K1 cells at dopamine 2 (D2) receptor (using [3H]U-86,170); Not tested",43,ChEMBL,CHEMBL665375,20180908,44374650,103412659,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,198.0,,,0,0,0,0,0,0
71,61475,Confirmatory,Binding affinity towards dopamine D2 receptor,Binding affinity towards dopamine D2 receptor,43,ChEMBL,CHEMBL666192,20180908,9889149,103370059,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
72,61476,Confirmatory,Compound was tested for inhibitory activity against Dopamine D2 receptor,Compound was tested for inhibitory activity against Dopamine D2 receptor,43,ChEMBL,CHEMBL666193,20180908,9885122,103677386,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
73,61477,Confirmatory,Compound was tested for its affinity towards dopaminergic (D2) receptor,Compound was tested for its affinity towards dopaminergic (D2) receptor,43,ChEMBL,CHEMBL663736,20180908,10048222|10385855,103347915|103410078,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
74,61478,Confirmatory,Tested for binding affinity for Dopamine D2 receptor,Tested for binding affinity for Dopamine D2 receptor,43,ChEMBL,CHEMBL663737,20180908,44374753,103413010,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
75,61479,Confirmatory,Tested for binding affinity for Dopamine D2 receptors,Tested for binding affinity for Dopamine D2 receptors,43,ChEMBL,CHEMBL663738,20180908,19770958,103413158,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
76,61480,Literature-derived,"Binding affinity was measured at cloned mammalian dopamine D2 receptor expressed in CHO-K1 cells (using [3H]U-86,170); NA means Inactive","Binding affinity was measured at cloned mammalian dopamine D2 receptor expressed in CHO-K1 cells (using [3H]U-86,170); NA means Inactive",43,ChEMBL,CHEMBL665378,20180908,44374649,103412655,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,198.0,,,0,0,0,0,0,0
77,61481,Literature-derived,"Binding affinity was measured at cloned mammalian dopamine D2 receptor expressed in CHO-K1 cells (using [3H]U-86,170); NT means not tested","Binding affinity was measured at cloned mammalian dopamine D2 receptor expressed in CHO-K1 cells (using [3H]U-86,170); NT means not tested",43,ChEMBL,CHEMBL665379,20180908,44374430,103412074,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,198.0,,,0,0,0,0,0,0
78,61482,Literature-derived,Percent inhibition against dopamine D2 receptor at a concentration of 1 umol/L,Percent inhibition against dopamine D2 receptor at a concentration of 1 umol/L,43,ChEMBL,CHEMBL665380,20180908,44374649,103412655,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
79,61483,Confirmatory,Binding affinity against Dopamine D2 receptor,Binding affinity against Dopamine D2 receptor,43,ChEMBL,CHEMBL857790,20180908,6604789|10337773,103239864|103240185,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,9606.0,,,,0,0,0,0,0,0
80,61484,Confirmatory,Compound was evaluated for binding affinity against Dopamine D2 receptor using radioligand binding assay,Compound was evaluated for binding affinity against Dopamine D2 receptor using radioligand binding assay,43,ChEMBL,CHEMBL665381,20180908,5311416,103261228,1813,,P14416,Curation Efforts|Research and Development,,0,,P14416,,,,,0,0,0,0,0,0
92,61614,Confirmatory,In vitro ability to inhibit [3H]raclopride binding to cloned human D2A receptors expressed in mouse fibroblast (LtK-) cells,"Title: Novel derivatives of 3-(dipropylamino)chroman. Interactions with 5-HT1A and D2A receptors._||_Abstract: Novel 8-aryl and 8-aroyl substituted derivatives of 3-(dipropylamino)chroman are described. The compounds have been prepared by a palladium catalyzed reaction of iodoarenes and a stannylated derivative of [eta6-3-(dipropylamino)chroman]Cr(CO)3. Several of the compounds have high affinity for 5-HT1A receptors whereas the affinity for D2A receptors is lower, the 8-arylated derivatives being slightly more potent than the 8-aroylated analogues.",43,ChEMBL,CHEMBL669149,20180909,86131|131001|9972630|44286891|44286901|44286909|44286910|44287035|44287180|44287224|44287238|44287265|44287274|44287301|44287333,103197141|103217923|103217924|103217950|103217956|103217957|103218174|103218459|103218488|103218529|103218557|103218605|103218613|103218665|103218717,1813,In vitro,P14416,Curation Efforts|Research and Development,10386940,0,,P14416,,,,,0,0,0,0,0,0
111,62291,Literature-derived,In vivo inhibitory activity against dopamine receptor in isolated cat atria; active,"Title: 6-Hydroxy-4-[2-(di-n-propylamino)ethyl]indole: synthesis and dopaminergic actions._||_Abstract: The title compound was proposed to be a biologically active metabolite of a dopaminergic agent, 4-[2-(di-n-propylamino)ethyl]indole. This proposed metabolite was synthesized by a multistep sequence beginning with methyl 3,5-dinitro o-toluate, and involving the Batcho-Leimgruber modification of the Reissert indole synthesis. The target compound exhibited high potency/activity in vivo in a cat cardioaccelerator nerve assay and in vitro in an isolated cat atrium assay. It manifested maximal pharmacological effect less than 5 min after intravenous administration in cats, as compared with a 20-min lag time following intravenous administration of the nonoxygenated congener. These pharmacological data are consistent with the proposal that the target compound is a metabolite of 4-[2-(di-n-propylamino)ethyl]indole.",43,ChEMBL,CHEMBL671451,20200628,137395,103358999,1812|1813|1814|1815|1816,In vivo,P14416|P21728|P21917|P21918|P35462,Curation Efforts|Research and Development,6699883,0,,P14416|P21728|P21917|P21918|P35462,9685.0,,,,0,0,0,0,0,0
112,62292,Literature-derived,In vivo inhibitory activity against dopamine receptor in isolated cat atria; inactive,"Title: 6-Hydroxy-4-[2-(di-n-propylamino)ethyl]indole: synthesis and dopaminergic actions._||_Abstract: The title compound was proposed to be a biologically active metabolite of a dopaminergic agent, 4-[2-(di-n-propylamino)ethyl]indole. This proposed metabolite was synthesized by a multistep sequence beginning with methyl 3,5-dinitro o-toluate, and involving the Batcho-Leimgruber modification of the Reissert indole synthesis. The target compound exhibited high potency/activity in vivo in a cat cardioaccelerator nerve assay and in vitro in an isolated cat atrium assay. It manifested maximal pharmacological effect less than 5 min after intravenous administration in cats, as compared with a 20-min lag time following intravenous administration of the nonoxygenated congener. These pharmacological data are consistent with the proposal that the target compound is a metabolite of 4-[2-(di-n-propylamino)ethyl]indole.",43,ChEMBL,CHEMBL671452,20200628,3086054,103261569,1812|1813|1814|1815|1816,In vivo,P14416|P21728|P21917|P21918|P35462,Curation Efforts|Research and Development,6699883,0,,P14416|P21728|P21917|P21918|P35462,9685.0,,,,0,0,0,0,0,0
115,62571,Literature-derived,Compound was evaluated for the competitive binding with [3H]NCA binding to Canine striatal membranes.,"Title: Aporphines. 58. N-(2-chloroethyl) [8,9-2H]norapomorphine, an irreversible ligand for dopamine receptors: synthesis and application._||_Abstract: The synthesis of the title compounds (1c and its 2H isomer 1b) from N-(2-hydroxyethyl)norapomorphine was carried out by ring bromination, followed by chlorination to the 2-chloroethyl compound 6. Further reduction with 2H2 or 3H2 and Pd/C gave 1b or 1c. Radiochemically pure (97%) 1c was obtained with a specific activity of 16.3 Ci/mmol. The purity of 1c was determined by LC, HPLC, UV, and NMR. [3H]NCA was shown to label the D2 receptor; however, the D2 signal appears to be only a small portion of the total signal, which may include binding to other dopamine receptor subtypes (D1 and D3).",43,ChEMBL,CHEMBL672961,20200628,681|3559|6005|37461,103167211|103167216|103167911|123090849,1812|1813|1814|1815|1816,,P14416|P21728|P21917|P21918|P35462,Curation Efforts|Research and Development,6737423,0,,P14416|P21728|P21917|P21918|P35462,9615.0,,,,0,0,0,0,0,0
116,62572,Confirmatory,Compound was evaluated for the competitive binding with [3H]spiperone binding to Canine striatal membranes.,"Title: Aporphines. 58. N-(2-chloroethyl) [8,9-2H]norapomorphine, an irreversible ligand for dopamine receptors: synthesis and application._||_Abstract: The synthesis of the title compounds (1c and its 2H isomer 1b) from N-(2-hydroxyethyl)norapomorphine was carried out by ring bromination, followed by chlorination to the 2-chloroethyl compound 6. Further reduction with 2H2 or 3H2 and Pd/C gave 1b or 1c. Radiochemically pure (97%) 1c was obtained with a specific activity of 16.3 Ci/mmol. The purity of 1c was determined by LC, HPLC, UV, and NMR. [3H]NCA was shown to label the D2 receptor; however, the D2 signal appears to be only a small portion of the total signal, which may include binding to other dopamine receptor subtypes (D1 and D3).",43,ChEMBL,CHEMBL672962,20200628,156376,103197972,1812|1813|1814|1815|1816,,P14416|P21728|P21917|P21918|P35462,Curation Efforts|Research and Development,6737423,0,,P14416|P21728|P21917|P21918|P35462,9615.0,,,,0,0,0,0,0,0
117,62573,Confirmatory,"The IC50 value was reported as apparent, since [3H]NCA was purported to be irreversible. Result indicates the mean of two separate experiments, each performed in triplicate.","Title: Aporphines. 58. N-(2-chloroethyl) [8,9-2H]norapomorphine, an irreversible ligand for dopamine receptors: synthesis and application._||_Abstract: The synthesis of the title compounds (1c and its 2H isomer 1b) from N-(2-hydroxyethyl)norapomorphine was carried out by ring bromination, followed by chlorination to the 2-chloroethyl compound 6. Further reduction with 2H2 or 3H2 and Pd/C gave 1b or 1c. Radiochemically pure (97%) 1c was obtained with a specific activity of 16.3 Ci/mmol. The purity of 1c was determined by LC, HPLC, UV, and NMR. [3H]NCA was shown to label the D2 receptor; however, the D2 signal appears to be only a small portion of the total signal, which may include binding to other dopamine receptor subtypes (D1 and D3).",43,ChEMBL,CHEMBL874062,20200628,681|3559|6005|37461,103167211|103167216|103167911|123090849,1812|1813|1814|1815|1816,,P14416|P21728|P21917|P21918|P35462,Curation Efforts|Research and Development,6737423,0,,P14416|P21728|P21917|P21918|P35462,9615.0,,,,0,0,0,0,0,0
118,62574,Literature-derived,Compound was evaluated at 100 uM concentration to displace [3H]spiperone and result indicates the percent displacement.,"Title: Aporphines. 58. N-(2-chloroethyl) [8,9-2H]norapomorphine, an irreversible ligand for dopamine receptors: synthesis and application._||_Abstract: The synthesis of the title compounds (1c and its 2H isomer 1b) from N-(2-hydroxyethyl)norapomorphine was carried out by ring bromination, followed by chlorination to the 2-chloroethyl compound 6. Further reduction with 2H2 or 3H2 and Pd/C gave 1b or 1c. Radiochemically pure (97%) 1c was obtained with a specific activity of 16.3 Ci/mmol. The purity of 1c was determined by LC, HPLC, UV, and NMR. [3H]NCA was shown to label the D2 receptor; however, the D2 signal appears to be only a small portion of the total signal, which may include binding to other dopamine receptor subtypes (D1 and D3).",43,ChEMBL,CHEMBL672963,20200628,156376,103197972,1812|1813|1814|1815|1816,,P14416|P21728|P21917|P21918|P35462,Curation Efforts|Research and Development,6737423,0,,P14416|P21728|P21917|P21918|P35462,9615.0,,,,0,0,0,0,0,0
124,62581,Confirmatory,Dopamine receptor antagonist activity in the superfused rabbit ear artery preparation,"Title: Synthesis and evaluation of novel alkylpiperazines as potential dopamine antagonists._||_Abstract: Several alkylpiperazines, monocyclic subfragments of known tricyclic neuroleptic agents, were evaluated as dopamine antagonists in the isolated rabbit ear artery preparation. Compound prepared and evaluated are of the general structure Ar-X-(CH2)n-Y, where X = C, O, and N, n = 1-3, and Y, for the most part, was 4-methylpiperazine. Those compounds where X - NH, n = 3, and X = (Z)-CH - CH, n = 2, with an electron-withdrawing group meta to the side chain, possess dopamine antagonist activity comparable to that of clozapine. It is concluded that the entire tricyclic structure of phenothiazine-like agents (or at least more than a monocyclic ring system) is necessary for optimal activity as a dopamine antagonist in the receptor preparation used in this study.",43,ChEMBL,CHEMBL672970,20200630,2726|3559|3031216|12563600|12730764|12730765|12730766|12730767|12730768|12730772|12730773|12730774|135398737,103165765|103167216|103169389|103196611|103267197|103268074|103411256|103411257|103411259|103411344|103411346|103411744|103411770,1812|1813|1814|1815|1816,,P14416|P21728|P21917|P21918|P35462,Curation Efforts|Research and Development,7252977,0,,P14416|P21728|P21917|P21918|P35462,9986.0,,,,0,0,1,1,1,1
